
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/VGG16BN/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/
Using model VGG16BN
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'batch_norm': True}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
  74    0.0500     2.6895   42.7026     2.9365   39.4340       684.7672        0.2397
  75    0.0500     2.6955   42.5868     2.9552   39.1740       685.6917        0.2397
  76    0.0500     2.6853   42.7932     2.9695   38.9560       668.8990        0.2397
  77    0.0500     2.6856   42.7537     2.9933   38.2560       616.0735        0.2397
  78    0.0500     2.6721   43.0255     2.9339   39.3440       616.9111        0.2397
  79    0.0500     2.6737   43.0469     3.0422   37.7700       644.4635        0.2397
  80    0.0500     2.6732   43.0167     3.1693   36.3920       683.3371        0.2397
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
  81    0.0500     2.6937   42.6720     2.9450   39.3960       684.1998        0.2397
  82    0.0500     2.6861   42.8935     2.9531   39.5080       650.0567        0.2397
  83    0.0500     2.6555   43.4074     2.9055   39.9840       659.5602        0.2397
  84    0.0500     2.6562   43.4114     2.9719   39.0920       685.7661        0.2397
  85    0.0500     2.6510   43.4798     2.9624   39.4300       683.2342        0.2397
  86    0.0500     2.6773   43.1050     2.9323   39.6280       674.7327        0.2397
  87    0.0500     2.6553   43.4528     2.9082   39.9680       684.0587        0.2397
  88    0.0500     2.6465   43.6462     2.9081   39.9040       648.4935        0.2397
  89    0.0500     2.6484   43.6034     4.0975   27.9560       686.6401        0.2397
  90    0.0494     3.0861   38.1007     2.9132   39.7300       685.0864        0.2397
  91    0.0487     2.6491   43.5812     2.9212   39.5400       685.1389        0.2397
  92    0.0481     2.6239   44.0110     2.9228   40.0620       662.0491        0.2397
  93    0.0474     2.6024   44.4349     2.8635   40.6260       671.5658        0.2397
  94    0.0468     2.5886   44.6310     2.8941   40.6800       681.4124        0.2397
  95    0.0462     2.5773   44.7941     2.8574   40.8080       685.3499        0.2397
  96    0.0455     2.5926   44.7020     3.2921   33.7800       686.2771        0.2397
  97    0.0449     2.6224   44.1297     2.9167   40.1420       682.3557        0.2397
  98    0.0442     2.5526   45.3006     2.8351   40.9320       644.1658        0.2397
  99    0.0436     2.5306   45.7280     2.8683   40.9540       674.7053        0.2397
 100    0.0430     2.5186   45.8856     2.9409   40.2660       687.9425        0.2397
 101    0.0423     2.5148   45.9198     2.8325   41.2800       681.5023        0.2397
 102    0.0417     2.4915   46.3481     2.8345   41.0960       646.2322        0.2397
 103    0.0411     2.4760   46.6222     2.8377   41.6140       682.8340        0.2397
 104    0.0404     2.4644   46.8008     2.8499   41.4380       620.3045        0.2397
 105    0.0398     2.4550   47.0074     2.8842   41.1820       618.9234        0.2397
 106    0.0391     2.4540   47.0510     2.8342   41.4660       619.0625        0.2397
 107    0.0385     2.4426   47.2217     2.8987   40.9880       661.7032        0.2397
 108    0.0379     2.4297   47.4163     2.7910   42.1740       658.9526        0.2397
 109    0.0372     2.4069   47.8216     2.8125   41.6620       666.2509        0.2397
 110    0.0366     2.3942   48.0449     2.8265   41.7920       683.9376        0.2397
 111    0.0359     2.3796   48.2973     2.8823   41.5380       682.3648        0.2397
 112    0.0353     2.3951   48.0400     2.8284   41.9540       685.4486        0.2397
 113    0.0347     2.3589   48.6560     2.8207   42.2600       683.2606        0.2397
 114    0.0340     2.3474   48.8576     2.8053   42.1520       679.8891        0.2397
 115    0.0334     2.3308   49.1696     2.7929   42.6000       684.8993        0.2397
 116    0.0327     2.3186   49.3812     2.8137   42.5040       685.5282        0.2397
 117    0.0321     2.3042   49.6689     2.7741   42.8200       682.5807        0.2397
 118    0.0315     2.2927   49.8584     2.8537   41.9060       653.0590        0.2397
 119    0.0308     2.2849   49.9458     2.7896   43.1880       682.3198        0.2397
 120    0.0302     2.2649   50.3268     2.8111   42.7060       683.1473        0.2397
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
 121    0.0295     2.2599   50.3873     2.7671   43.1080       683.8058        0.2397
 122    0.0289     2.2364   50.7771     2.8375   42.2160       682.2671        0.2397
 123    0.0283     2.2325   50.9089     2.7962   43.0880       620.0563        0.2397
 124    0.0276     2.2119   51.2889     2.7580   43.4000       641.0387        0.2397
 125    0.0270     2.1961   51.4998     2.7568   43.3680       645.4433        0.2397
 126    0.0263     2.1818   51.7956     2.7591   43.3720       682.2194        0.2397
 127    0.0257     2.1671   52.0228     2.7377   43.7720       651.0102        0.2397
 128    0.0251     2.1959   51.6235     2.7596   43.3800       637.7968        0.2397
 129    0.0244     2.1571   52.2564     2.7669   43.7700       614.1761        0.2397
 130    0.0238     2.1290   52.7893     2.7736   43.6280       655.9383        0.2397
 131    0.0232     2.1113   53.0223     2.7353   44.0900       638.9016        0.2397
 132    0.0225     2.0968   53.3072     2.7824   43.6801       683.5098        0.2397
 133    0.0219     2.0772   53.6329     2.7701   43.9620       682.6827        0.2397
 134    0.0212     2.0637   53.8803     2.7393   44.0380       686.2226        0.2397
 135    0.0206     2.0461   54.2078     2.7660   44.1340       658.3383        0.2397
 136    0.0200     2.0293   54.5398     2.7245   44.2500       657.1480        0.2397
 137    0.0193     2.0126   54.7812     2.7194   44.5980       684.5544        0.2397
 138    0.0187     1.9958   55.1329     2.7159   44.4580       685.7139        0.2397
 139    0.0180     1.9769   55.4301     2.7240   44.2840       686.3477        0.2397
 140    0.0174     1.9604   55.8168     2.7303   44.6740       684.4271        0.2397
 141    0.0168     1.9470   55.9824     2.7348   44.9440       686.9822        0.2397
 142    0.0161     1.9236   56.4089     2.7133   44.9160       685.3582        0.2397
 143    0.0155     1.9054   56.7513     2.7634   44.5200       687.0321        0.2397
 144    0.0148     1.8858   57.0563     2.7507   45.0620       680.4879        0.2397
 145    0.0142     1.8671   57.4721     2.7509   45.0560       685.5206        0.2397
 146    0.0136     1.8462   57.8444     2.7513   45.1360       685.7860        0.2397
 147    0.0129     1.8261   58.2098     2.7492   45.2780       646.7483        0.2397
 148    0.0123     1.8028   58.6251     2.7650   45.3740       664.6165        0.2397
 149    0.0116     1.7839   58.9895     2.7338   45.3680       634.1645        0.2397
 150    0.0110     1.7629   59.3806     2.7389   45.3620       673.8359        0.2397
 151    0.0104     1.7394   59.7827     2.7678   45.5860       635.5461        0.2397
 152    0.0097     1.7170   60.2318     2.7345   45.7040       634.9337        0.2397
 153    0.0091     1.6917   60.7071     2.7770   45.8000       634.1633        0.2397
 154    0.0085     1.6675   61.1591     2.7506   45.9800       626.9045        0.2397
 155    0.0078     1.6459   61.5421     2.7636   45.8120       668.9241        0.2397
 156    0.0072     1.6190   62.0978     2.7530   45.9560       673.7363        0.2397
 157    0.0065     1.5942   62.5203     2.7662   46.0160       683.9074        0.2397
 158    0.0059     1.5691   63.0571     2.7738   46.0800       649.1454        0.2397
 159    0.0053     1.5443   63.5046     2.7554   46.1060       620.0487        0.2397
 160    0.0050     1.5236   63.9337     2.8015   45.9440       664.2075        0.2397
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
 161    0.0050     1.5164   64.0489     2.8165   45.8880       685.0196        0.2397
 162    0.0050     1.5080   64.1901     2.7879   46.0860       686.0080        0.2397
 163    0.0050     1.4996   64.2854     2.8287   45.9160       683.7457        0.2397
 164    0.0050     1.4960   64.3972     2.8116   45.8960       685.7771        0.2397
 165    0.0050     1.4888   64.5294     2.8332   45.9340       686.9762        0.2397
 166    0.0050     1.4840   64.6177     2.8246   45.8300       621.3650        0.2397
 167    0.0050     1.4794   64.7072     2.8604   45.9300       618.2324        0.2397
 168    0.0050     1.4745   64.7714     2.8444   45.8080       682.1779        0.2397
 169    0.0050     1.4690   64.8748     2.8572   45.7200       683.9027        0.2397
 170    0.0050     1.4646   64.9728     2.8278   45.8100       685.6369        0.2397
 171    0.0050     1.4625   64.9728     2.8381   45.8600       684.8777        0.2397
 172    0.0050     1.4579   65.0516     2.8592   45.9440       685.6613        0.2397
 173    0.0050     1.4555   65.1346     2.8692   45.7100       627.5608        0.2397
 174    0.0050     1.4504   65.1895     2.8526   45.5260       666.9035        0.2397
 175    0.0050     1.4462   65.2852     2.8613   45.5740       662.0104        0.2397
 176    0.0050     1.4432   65.2886     2.8864   45.5640         2.8591       65.9190       45.5860  686.8212       0.2397
 177    0.0050     1.4438   65.3379     2.9174   45.5960         2.8586       67.3863       46.1920  659.1647       0.3006
 178    0.0050     1.4407   65.3682     2.8825   45.5980         2.8024       68.0528       46.3900  641.4912       0.3006
 179    0.0050     1.4392   65.3382     2.8988   45.4080         2.8401       68.4335       46.5980  670.5254       0.3006
 180    0.0050     1.4370   65.3923     2.8986   45.6180         2.8281       68.6408       46.6800  640.8736       0.3006
 181    0.0050     1.4380   65.3542     2.8781   45.5220         2.8180       68.8443       46.4200  666.0122       0.3006
 182    0.0050     1.4338   65.4513     2.8911   45.3560         2.8382       69.0729       46.6140  660.9097       0.3006
 183    0.0050     1.4337   65.4659     2.8858   45.2300         2.8264       69.1730       46.5820  682.6737       0.3006
 184    0.0050     1.4347   65.4609     2.9031   45.4360         2.8196       69.3447       46.6760  658.1085       0.3006
 185    0.0050     1.4335   65.4029     2.9025   45.2760         2.7926       69.4408       46.7120  687.4134       0.3006
 186    0.0050     1.4322   65.4491     2.9177   45.0980         2.8050       69.6609       46.6440  642.6106       0.3006
 187    0.0050     1.4326   65.4553     2.9115   45.2380         2.7964       69.7223       46.8980  631.7450       0.3006
 188    0.0050     1.4317   65.4545     2.8956   45.2100         2.8277       69.7968       46.8700  687.6536       0.3006
 189    0.0050     1.4327   65.4498     2.9165   45.2340         2.8377       69.9076       46.7500  688.5313       0.3006
 190    0.0050     1.4307   65.4909     2.9371   45.0720         2.8310       70.0304       46.8620  677.5077       0.3006
 191    0.0050     1.4336   65.3797     2.8784   45.4420         2.8231       70.1022       46.8960  686.5787       0.3006
 192    0.0050     1.4324   65.3669     2.9249   45.2480         2.7961       70.2074       47.0140  623.8689       0.3006
 193    0.0050     1.4312   65.4834     2.9259   45.0180         2.7892       70.2876       47.0620  660.3543       0.3006
 194    0.0050     1.4325   65.4623     2.9163   45.0140         2.8085       70.3599       46.9920  659.7054       0.3006
 195    0.0050     1.4323   65.4400     2.9076   45.2580         2.8056       70.3953       47.1140  658.9252       0.3006
 196    0.0050     1.4318   65.3894     2.9529   44.9020         2.8280       70.5313       46.9960  653.2030       0.3006
 197    0.0050     1.4324   65.3935     2.9446   44.8240         2.8082       70.5536       47.0320  641.8076       0.3006
 198    0.0050     1.4335   65.3772     2.9513   45.0040         2.7919       70.5913       47.0640  653.9381       0.3006
 199    0.0050     1.4325   65.3718     2.9083   44.8420         2.8390       70.6797       47.0160  659.9650       0.3006
 200    0.0050     1.4328   65.3930     2.9210   44.7900         2.8015       70.7899       46.9800  639.5621       0.3006
----  --------  ---------  --------  ---------  --------  -------------  ------------  ------------  --------  -----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc    swa_te_acc      time    mem_usage
----  --------  ---------  --------  ---------  --------  -------------  ------------  ------------  --------  -----------
 201    0.0050     1.4317   65.3963     2.9700   44.6660         2.7916       70.8335       47.0460  596.0154       0.3006
 202    0.0050     1.4336   65.3507     2.9499   44.6940         2.8270       70.8471       47.0460  595.2872       0.3006
 203    0.0050     1.4337   65.3583     2.9506   44.9180         2.8023       70.8918       47.0300  635.7269       0.3006
 204    0.0050     1.4354   65.3131     2.9521   44.7360         2.8183       71.0297       47.0500  622.5521       0.3006
 205    0.0050     1.4330   65.3542     2.9583   44.9220         2.7957       71.0696       47.0060  632.0991       0.3006
 206    0.0050     1.4362   65.2713     2.9551   44.5560         2.7952       71.1091       47.1680  659.4301       0.3006
 207    0.0050     1.4340   65.3314     2.9611   44.6040         2.8026       71.1205       47.1080  656.3325       0.3006
 208    0.0050     1.4358   65.2836     2.9217   44.9200         2.8249       71.2581       47.0360  642.4718       0.3006
 209    0.0050     1.4365   65.2898     2.9280   44.6520         2.8253       71.2407       47.0420  657.6078       0.3006
 210    0.0050     1.4363   65.2716     2.9622   44.8180         2.8174       71.3546       47.0480  659.7545       0.3006
 211    0.0050     1.4395   65.1904     2.9380   44.8680         2.7852       71.3284       47.1980  660.6488       0.3006
 212    0.0050     1.4383   65.2118     2.9190   44.6980         2.7984       71.4246       47.1960  658.2349       0.3006
 213    0.0050     1.4386   65.2532     2.9417   44.5760         2.8169       71.4210       47.2400  595.7801       0.3006
 214    0.0050     1.4369   65.2575     2.9370   44.5900         2.8211       71.5138       47.2220  594.6462       0.3006
 215    0.0050     1.4397   65.1996     2.9866   44.2640         2.8074       71.5698       47.1640  658.1766       0.3006
 216    0.0050     1.4389   65.2181     2.9475   44.6520         2.7961       71.6327       47.1540  601.6816       0.3006
 217    0.0050     1.4395   65.2081     3.0092   44.2180         2.8020       71.6522       47.2680  624.1695       0.3006
 218    0.0050     1.4408   65.2119     3.0140   44.5400         2.8185       71.6797       47.2080  613.6238       0.3006
 219    0.0050     1.4404   65.1467     2.9823   44.4240         2.8093       71.7510       47.1740  657.0071       0.3006
 220    0.0050     1.4407   65.1387     2.9902   44.4340         2.8234       71.8266       47.1720  654.2340       0.3006
 221    0.0050     1.4422   65.1600     2.9655   44.5020         2.7896       71.8074       47.2760  652.6898       0.3006
 222    0.0050     1.4429   65.1296     2.9395   44.3040         2.8111       71.8887       47.1300  644.5322       0.3006
 223    0.0050     1.4412   65.1541     2.9970   44.5500         2.7774       71.9549       47.3100  673.3933       0.3006
 224    0.0050     1.4456   65.0543     2.9462   44.5720         2.8016       72.0026       47.2520  685.7132       0.3006
 225    0.0050     1.4423   65.1519     2.9513   44.3360         2.8213       71.9761       47.1720  696.6723       0.3006
